53	53	1	7	PF	2011-05-24 12:30:00-03	2984.76	2814.67	2019-07-02 08:03:46-03
190	190	1	7	PF	2014-10-17 11:48:00-03	4262.43	4191.86	2021-03-25 09:00:15-03
191	191	1	7	PF	2013-03-23 11:14:00-03	3266.57	3080.71	2016-09-09 20:34:15-03
203	203	1	7	PF	2016-08-03 13:13:00-03	21241.54	19461.56	2022-12-28 04:58:24-03
254	254	1	7	PF	2012-10-24 11:48:00-02	13335.70	13197.54	2013-12-20 20:20:00-02
306	306	1	7	PF	2012-05-23 09:11:00-03	22997.47	21677.88	2016-10-05 00:14:36-03
472	472	1	7	PF	2022-08-07 09:08:00-03	4178.42	4183.68	2022-12-29 21:00:00.67516-03
520	520	1	7	PF	2019-11-03 13:26:00-03	1809.81	1288.51	2022-12-29 20:59:59.753932-03
739	739	1	7	PF	2014-02-26 09:20:00-03	45.77	616.79	2022-12-29 20:59:59.789361-03
509	509	1	13	PF	2012-01-20 09:56:00-02	19159.80	19863.76	2016-06-09 19:25:04-03
688	688	1	13	PF	2017-12-05 09:03:00-02	61105.56	55917.15	2022-09-24 10:18:37-03
775	775	1	13	PF	2011-03-19 11:55:00-03	39008.68	35288.34	2021-06-25 11:12:03-03
920	920	1	13	PF	2021-01-22 10:48:00-03	2023.58	2511.30	2022-12-29 20:59:59.953426-03
954	954	1	13	PF	2012-04-15 07:23:00-03	35545.03	34545.62	2020-03-21 23:59:42-03
955	955	1	13	PF	2020-03-28 11:02:00-03	79502.07	80952.72	2022-06-04 04:26:23-03
170	170	1	14	PF	2022-12-15 13:01:00-03	926.71	335.38	2023-01-11 06:04:20.2749-03
218	218	1	14	PF	2019-10-01 13:05:00-03	180027.69	168407.88	2022-09-09 07:51:55-03
555	555	1	14	PF	2012-08-24 09:57:00-03	52691.54	54240.69	2019-04-01 18:41:58-03
741	741	1	14	PF	2012-03-03 11:17:00-03	91849.87	83480.04	2020-11-17 19:35:58-03
751	751	1	14	PF	2012-01-13 10:29:00-02	59.75	44.86	2022-07-17 14:25:28-03
953	953	1	14	PF	2015-06-11 12:05:00-03	1866.73	1827.75	2022-12-29 20:59:59.106764-03
108	108	1	23	PF	2017-04-13 09:21:00-03	1171.45	812.56	2022-12-29 20:59:59.646511-03
110	110	1	23	PF	2020-06-19 13:06:00-03	11059.76	10208.05	2022-12-29 21:00:00.199407-03
242	242	1	23	PF	2010-05-06 11:03:00-03	165102.06	163409.68	2019-08-09 20:42:11-03
844	844	1	23	PF	2022-09-19 09:48:00-03	20803.94	20373.14	2022-12-29 20:59:59.639046-03
888	888	1	23	PF	2016-04-13 08:01:00-03	91067.68	87609.82	2021-05-22 19:18:09-03
171	171	1	24	PF	2022-03-04 13:24:00-03	68520.06	66507.14	2022-12-29 21:00:00.7855-03
291	291	1	24	PF	2012-02-26 09:34:00-03	40641.12	41016.20	2022-12-08 05:47:13-03
481	481	1	24	PF	2020-04-14 13:19:00-03	86.28	74.53	2022-11-20 13:50:25-03
564	564	1	24	PF	2015-05-20 08:34:00-03	20584.69	19955.30	2017-07-18 08:54:24-03
584	584	1	24	PF	2014-11-07 09:59:00-02	1658.17	1592.70	2019-08-27 09:10:09-03
635	635	1	24	PF	2022-09-12 12:38:00-03	1534.56	1252.55	2022-12-29 21:00:00.33746-03
116	116	1	30	PF	2014-10-17 10:19:00-03	20992.18	20458.98	2022-08-12 09:32:52-03
153	153	1	30	PF	2014-09-12 13:45:00-03	14581.90	14679.19	2019-05-05 11:56:38-03
176	176	1	30	PF	2019-04-20 11:06:00-03	14244.93	12934.41	2020-12-19 10:15:50-03
199	199	1	30	PF	2019-01-10 10:24:00-02	92338.31	94200.58	2022-12-29 20:37:56-03
207	207	1	30	PF	2022-06-24 13:07:00-03	13029.24	52.13	2022-12-29 21:00:00.621813-03
275	275	1	30	PF	2020-05-02 09:18:00-03	51431.95	52418.24	2022-12-29 21:00:00.087069-03
361	361	1	30	PF	2018-01-08 12:30:00-02	16828.83	17483.74	2022-09-28 20:25:00-03
701	701	1	30	PF	2013-02-24 07:46:00-03	53.50	37.57	2020-03-30 05:05:11-03
808	808	1	30	PF	2013-08-08 11:43:00-03	33978.83	32308.15	2022-04-21 15:11:48-03
910	910	1	30	PF	2011-11-03 14:42:00-02	38140.18	38894.44	2018-11-01 20:32:33-03
290	290	1	31	PF	2016-02-19 10:30:00-02	10809.29	8075.48	2022-12-29 20:59:59.668206-03
451	451	1	31	PF	2011-08-25 08:33:00-03	14880.73	15408.80	2013-08-31 20:35:07-03
557	557	1	31	PF	2017-12-09 10:29:00-02	2841.34	2543.82	2022-12-29 20:56:57-03
617	617	1	31	PF	2016-02-17 09:37:00-02	28163.42	28107.84	2017-10-26 17:24:41-02
632	632	1	31	PF	2017-07-25 13:41:00-03	15022.80	14852.30	2022-12-29 20:59:59.732522-03
740	740	1	31	PF	2019-11-12 09:14:00-03	788.60	697.98	2022-12-29 20:50:54-03
134	134	1	34	PF	2013-06-11 08:41:00-03	19285.30	19263.65	2017-06-15 04:46:25-03
410	410	1	34	PF	2019-04-22 10:24:00-03	2612.79	2608.29	2022-12-29 21:00:00.675814-03
429	429	1	34	PF	2015-05-28 12:38:00-03	7184.02	5418.26	2022-12-29 21:00:00.433124-03
496	496	1	34	PF	2020-02-27 09:50:00-03	18.42	78.95	2022-12-29 21:00:00.869078-03
631	631	1	34	PF	2010-12-10 13:06:00-02	21223.45	22164.99	2014-05-25 12:37:54-03
878	878	1	34	PF	2012-05-16 11:13:00-03	32869.20	34449.17	2021-05-13 17:48:23-03
6	6	1	42	PF	2010-03-09 09:09:00-03	14236.27	13407.48	2016-10-02 19:42:28-03
620	620	1	42	PF	2010-06-21 13:42:00-03	29814.95	28876.55	2014-01-29 17:49:43-02
714	714	1	42	PF	2015-06-18 08:20:00-03	48216.74	43787.36	2020-07-12 01:06:16-03
877	877	1	42	PF	2013-02-11 09:31:00-02	125716.28	126887.95	2019-05-21 17:49:47-03
286	286	1	58	PF	2021-07-12 09:27:00-03	3985.90	2427.58	2022-12-29 20:52:25-03
559	559	1	58	PF	2011-02-05 12:40:00-02	31372.24	29533.51	2022-12-29 21:00:00.049372-03
911	911	1	58	PF	2011-09-22 09:17:00-03	3545.66	3563.20	2022-12-29 20:59:59.851741-03
40	40	1	62	PF	2015-04-14 11:50:00-03	461.35	164.31	2022-12-29 20:59:59.352027-03
90	90	1	62	PF	2014-05-15 10:06:00-03	109727.88	99717.27	2015-12-25 19:14:30-02
93	93	1	62	PF	2021-10-27 08:09:00-03	354.41	270.18	2022-12-29 20:59:59.036565-03
147	147	1	62	PF	2014-08-14 11:32:00-03	42405.95	41516.75	2015-11-13 15:37:41-02
486	486	1	62	PF	2015-04-23 10:18:00-03	197.36	155.72	2022-12-29 19:47:31-03
501	501	1	62	PF	2018-06-20 11:51:00-03	232815.79	211636.04	2022-12-29 21:00:00.468941-03
670	670	1	62	PF	2022-10-25 11:11:00-03	42711.76	41331.12	2022-12-29 21:00:00.718266-03
735	735	1	62	PF	2012-12-03 11:05:00-02	72474.23	67091.37	2021-04-25 20:19:48-03
805	805	1	62	PF	2011-05-08 11:35:00-03	4438.54	4510.78	2022-12-29 21:00:00.828982-03
19	19	1	67	PF	2019-10-05 10:24:00-03	2615.32	2364.85	2022-12-29 20:59:59.115282-03
106	106	1	67	PF	2010-08-14 12:55:00-03	68269.51	71851.76	2020-09-28 17:33:20-03
146	146	1	67	PF	2010-06-27 07:33:00-03	10975.19	11304.70	2014-03-23 04:15:00-03
154	154	1	67	PF	2013-10-14 08:46:00-03	81928.25	78745.64	2018-05-10 15:30:26-03
198	198	1	67	PF	2016-09-09 08:33:00-03	7893.02	7802.34	2022-12-29 19:42:22-03
200	200	1	67	PF	2015-05-17 07:24:00-03	3503.06	2941.50	2022-12-26 04:35:44-03
260	260	1	67	PF	2013-10-22 12:33:00-02	23435.39	22294.71	2022-06-06 14:43:44-03
347	347	1	67	PF	2011-02-03 14:40:00-02	83141.24	87482.30	2015-05-01 01:58:44-03
357	357	1	67	PF	2021-07-12 12:17:00-03	71.39	21.40	2022-12-29 21:00:00.925889-03
497	497	1	67	PF	2021-10-25 13:18:00-03	44788.25	45546.60	2022-12-29 20:59:59.201726-03
598	598	1	67	PF	2015-02-09 11:15:00-02	6940.73	6722.36	2022-12-29 21:00:00.545758-03
715	715	1	67	PF	2018-12-20 14:17:00-02	27057.15	23267.77	2022-12-29 21:00:00.415793-03
925	925	1	67	PF	2014-07-10 11:52:00-03	7854.30	7813.65	2022-12-29 19:10:15-03
68	68	1	72	PF	2019-08-11 08:02:00-03	66.69	54.72	2022-12-29 20:59:59.607906-03
195	195	1	72	PF	2011-03-08 10:26:00-03	28846.58	27711.57	2015-04-03 08:22:27-03
280	280	1	72	PF	2017-04-20 11:07:00-03	14666.52	13614.04	2022-09-20 17:09:54-03
284	284	1	72	PF	2020-02-18 10:51:00-03	42994.12	43554.03	2022-12-29 19:10:49-03
604	604	1	72	PF	2022-03-20 13:32:00-03	66821.99	68837.85	2022-12-29 20:59:59.290722-03
697	697	1	72	PF	2013-01-24 10:46:00-02	1323.40	1185.81	2016-09-14 09:33:25-03
831	831	1	72	PF	2016-01-22 09:28:00-02	32572.58	31390.16	2022-12-29 20:57:40-03
141	141	1	77	PF	2012-05-10 10:49:00-03	8239.80	8311.67	2015-02-24 21:30:47-03
